,state,tract,B25091_017E,B25091_010E,B25091_011E,B25091_005E,B25091_003E,B25091_012E,B25091_016E,B25091_014E,B25091_004E,B25091_021E,B25091_020E,B25091_009E,B25091_023E,B25091_008E,B25091_001E,B25091_015E,B25091_018E,B25091_019E,B25091_022E,B25091_007E,B25091_006E,B25091_002E,B25140C_004E,B25140F_001E,B25140F_005E,B25140E_005E,B25140G_003E,B25140A_007E,B25140G_008E,B25140B_007E,B25140A_004E,B25140E_001E,B25140A_001E,B25140G_005E,B25140_004E,B25140_005E,B25140I_001E,B25140B_003E,B25140G_004E,B25140A_005E,B25140I_005E,B25140B_005E,B25140D_005E,B25140C_003E,B25140D_004E,B25140D_003E,B25140E_007E,B25140E_009E,B25140H_009E,B25140F_003E,B25140_008E,B25140_009E,B25140E_008E,B25140C_009E,B25140_007E,B25140H_001E,B25140C_008E,B25140D_007E,B25140G_009E,B25140C_005E,B25140H_004E,B25140G_007E,B25140A_003E,B25140_003E,B25140A_008E,B25140H_005E,B25140C_007E,B25140F_004E,B25140_001E,B25140F_007E,B25140A_009E,B25140G_001E,B25140H_007E,B25140B_001E,B25140I_007E,B25140E_003E,B25140F_008E,B25140H_008E,B25140C_001E,B25140E_004E,B25140F_009E,B25140D_001E,B25140D_009E,B25140H_003E,B25140B_009E,B25140B_004E,B25140I_009E,B25140B_008E,B25140D_008E,B25140I_003E,B25140I_008E,B25140I_004E
10,06,010702,0,0,20,0,0,0,0,61,15,0,0,0,0,0,125,0,0,0,0,0,29,64,0,51,0,0,0,0,0,0,0,0,181,0,20,0,97,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,20,0,0,0,0,674,0,0,72,0,0,0,0,0,0,37,0,0,333,0,0,0,0,0,0,0,0,0,0
11,06,010800,15,13,37,0,55,0,7,142,25,0,0,10,8,8,471,25,0,0,63,13,50,211,0,33,0,0,8,18,0,0,0,0,1221,0,16,0,79,0,0,0,0,0,0,0,16,39,0,0,0,0,63,8,0,0,63,1181,0,45,0,0,0,0,21,68,18,0,0,0,2382,0,0,243,18,229,0,0,0,18,0,0,0,656,8,21,0,0,0,0,45,0,0,0
12,06,010901,18,0,88,34,0,0,0,0,16,7,0,0,0,23,253,16,10,0,29,0,12,173,0,0,0,0,0,21,0,0,34,0,800,0,88,0,111,0,0,0,0,0,0,0,54,54,0,0,0,0,29,0,0,0,36,750,0,15,0,0,34,0,34,88,21,0,0,0,1071,0,0,75,21,9,0,0,0,21,27,0,0,160,0,34,0,0,0,0,8,0,0,0
13,06,010902,0,0,12,0,13,0,0,0,19,0,21,13,0,0,142,0,0,0,0,44,20,121,0,96,0,0,0,21,0,0,0,0,1007,0,12,0,272,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,21,875,0,0,0,0,0,0,13,25,0,0,0,0,1452,0,0,164,21,0,0,0,0,0,0,0,0,185,0,13,0,0,0,0,0,0,0,0
14,06,011001,0,0,50,17,63,0,0,86,15,0,0,45,0,26,312,0,0,0,0,0,10,226,0,26,0,0,0,0,0,0,0,0,904,0,50,0,37,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,881,0,0,0,0,0,0,71,121,0,0,0,0,1405,0,0,10,0,0,0,0,0,0,0,0,0,465,0,71,0,0,0,0,0,0,0,0
15,06,011002,30,0,33,17,0,0,8,124,12,0,2,18,32,0,357,0,0,0,11,70,0,150,0,14,0,0,0,0,0,0,22,0,597,0,33,0,103,0,0,0,0,0,0,0,11,11,0,0,32,0,11,32,0,0,13,558,0,13,0,0,22,0,40,51,0,0,0,0,1129,0,32,81,0,0,0,0,0,0,0,0,0,437,0,40,0,0,0,0,11,0,0,0
16,06,011101,0,12,0,33,0,0,0,30,27,0,0,0,0,0,154,0,8,0,0,31,13,116,0,0,0,0,0,0,0,0,0,0,865,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813,0,0,0,0,0,0,12,12,0,0,0,0,1473,0,0,138,0,59,0,0,0,0,0,0,0,411,0,12,0,0,0,0,0,0,0,0
17,06,011102,20,13,10,36,0,0,0,0,7,0,0,0,0,0,94,0,0,0,8,0,0,66,0,71,0,0,0,0,0,0,0,0,507,0,10,0,97,0,0,0,0,0,0,0,10,23,0,0,0,0,8,0,0,0,8,507,0,8,0,0,0,0,0,23,0,0,0,0,1312,0,0,74,0,192,0,0,0,0,5,0,0,463,0,0,0,0,0,0,8,0,0,0
18,06,011200,19,26,51,9,0,0,12,41,14,0,0,0,0,42,362,24,0,7,92,8,17,167,0,45,0,0,22,48,0,8,37,0,924,0,51,0,34,0,0,0,0,0,0,0,14,40,0,0,0,0,92,0,0,0,92,890,0,26,0,0,37,0,57,119,48,0,0,0,1633,10,0,87,48,13,0,0,10,48,0,0,0,564,0,57,0,0,0,8,26,0,0,0
19,06,011300,0,0,6,31,9,0,0,11,11,0,0,10,0,0,130,12,12,19,9,0,0,67,0,0,0,0,0,9,0,0,6,0,314,0,6,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,28,295,0,19,0,0,6,0,16,16,0,0,0,0,1333,0,0,31,9,12,0,0,0,0,0,0,0,976,0,16,0,0,0,0,9,0,0,0
