,state,tract,B25091_017E,B25091_010E,B25091_011E,B25091_005E,B25091_003E,B25091_012E,B25091_016E,B25091_014E,B25091_004E,B25091_021E,B25091_020E,B25091_009E,B25091_023E,B25091_008E,B25091_001E,B25091_015E,B25091_018E,B25091_019E,B25091_022E,B25091_007E,B25091_006E,B25091_002E,B25140_004E,B25140_005E,B25140_008E,B25140_009E,B25140_007E,B25140_003E,B25140_001E
102,06,020602,0,35,82,134,39,0,34,46,38,0,0,31,0,0,734,59,0,0,0,185,51,595,82,0,0,0,0,148,1353
103,06,020701,0,17,32,71,24,0,12,79,114,0,0,0,0,8,490,18,0,0,5,49,61,376,32,0,5,0,5,49,1326
104,06,020702,8,0,42,24,0,0,0,18,54,0,0,0,0,11,216,33,0,0,0,17,9,157,42,0,0,0,0,53,1198
105,06,020801,0,10,33,6,0,0,0,13,20,0,0,0,0,0,161,10,11,0,0,16,42,127,33,0,0,0,0,43,1511
106,06,020802,0,0,45,0,6,0,0,33,95,0,0,0,0,47,313,0,0,0,0,52,35,280,45,0,0,0,0,65,1162
107,06,020900,24,8,47,6,27,0,24,14,114,9,0,0,0,12,296,0,0,0,0,0,11,225,47,0,0,0,9,67,1690
108,06,021000,56,13,62,178,0,0,0,56,58,0,0,31,0,51,713,48,9,0,32,79,40,512,62,0,32,0,32,122,1849
109,06,021100,0,32,170,125,55,0,0,124,99,12,0,9,0,16,928,49,27,0,24,58,128,692,170,0,10,0,36,227,1998
110,06,021200,29,45,85,132,78,0,9,103,91,0,8,28,0,29,797,24,14,28,0,16,78,582,85,0,0,0,8,187,1423
111,06,021300,0,4,68,29,32,0,19,75,70,0,0,0,0,0,531,16,0,0,45,66,107,376,68,0,45,0,45,72,1153
112,06,021400,0,4,24,75,47,0,9,83,99,0,0,19,0,66,668,104,8,0,10,70,50,454,24,0,10,0,10,103,1714
113,06,021500,0,20,73,44,73,0,24,269,204,24,0,72,0,10,1099,41,0,0,14,135,96,727,73,0,14,0,38,175,2416
114,06,021600,16,13,72,135,79,0,82,199,78,0,0,71,15,48,1116,55,14,27,0,109,103,708,72,0,0,15,27,204,2055
115,06,021700,19,40,81,173,61,14,11,194,199,24,9,25,0,8,1256,124,6,9,8,131,120,852,71,14,8,0,50,154,1801
116,06,021800,14,17,91,99,155,29,17,194,83,0,0,68,0,70,1057,45,22,0,6,31,116,759,76,29,6,0,6,246,1776
117,06,022600,0,32,27,97,17,0,9,6,50,0,0,12,0,0,424,23,0,0,0,27,124,386,23,0,0,0,0,71,2042
118,06,022702,0,9,105,67,9,0,6,70,33,0,0,0,0,0,432,30,0,8,0,5,90,318,105,0,0,0,0,114,1063
119,06,022704,14,27,64,66,66,0,0,129,134,34,0,60,0,74,939,37,0,0,19,116,99,706,64,0,19,0,53,225,1667
120,06,022801,10,6,95,126,41,53,21,114,132,6,0,17,11,68,849,18,0,0,18,78,35,651,76,53,18,11,24,186,1819
121,06,022802,0,0,108,46,40,0,6,47,20,0,0,0,0,17,307,7,0,0,0,7,9,247,108,0,0,0,0,121,744
122,06,022803,0,41,70,61,38,0,29,81,71,0,0,16,0,30,639,29,75,0,4,32,62,421,70,0,4,0,4,127,1468
123,06,022901,0,0,30,33,48,0,16,105,12,0,0,4,0,30,370,9,0,0,7,22,54,233,30,0,7,0,7,34,1427
124,06,022902,5,17,28,21,39,0,5,48,35,0,5,0,0,20,312,19,3,8,0,39,20,219,28,0,0,0,13,50,714
125,06,022903,5,5,63,109,14,0,6,56,0,10,2,21,0,6,409,42,0,0,0,17,53,288,63,0,0,0,12,95,1087
126,06,023001,0,51,150,39,44,7,49,174,36,13,0,0,0,14,777,73,20,0,19,11,77,429,150,7,19,0,32,215,1288
127,06,023003,17,9,139,67,31,0,44,199,86,42,0,26,24,73,968,34,31,0,0,41,105,577,139,0,0,24,42,247,1234
128,06,023102,0,33,93,30,23,13,17,109,66,0,8,0,0,15,457,0,0,12,7,19,12,304,93,13,7,0,27,132,1174
129,06,023103,0,0,11,0,0,0,0,17,0,0,0,0,0,0,42,0,0,0,0,10,4,25,11,0,0,0,0,11,1518
130,06,023200,0,11,43,115,83,0,0,195,56,0,0,0,10,25,842,155,0,0,0,65,84,482,43,0,0,10,0,79,1204
131,06,023300,55,22,57,133,23,0,16,119,28,0,12,11,5,24,659,32,0,0,25,47,50,395,57,0,25,5,37,114,1307
132,06,023400,0,0,96,16,27,0,7,181,22,0,0,25,12,46,714,14,6,0,59,180,23,435,96,0,59,12,59,121,1140
133,06,025100,20,27,113,89,112,11,11,131,76,0,0,16,11,13,825,10,8,0,4,105,68,630,113,11,4,11,4,169,1355
134,06,025200,17,18,142,225,118,0,29,183,151,0,29,78,0,0,1596,40,16,0,253,114,183,1029,142,0,253,0,282,238,2365
135,06,025300,11,63,72,78,108,0,0,57,89,0,0,9,0,115,866,22,0,38,17,103,84,721,72,0,17,0,55,253,1700
136,06,025401,12,48,95,47,52,8,12,174,28,0,0,35,0,4,634,14,9,0,0,44,52,413,86,8,0,0,0,178,1346
137,06,025402,0,43,108,123,42,0,9,117,74,0,0,8,0,9,753,94,0,0,8,37,81,525,108,0,8,0,8,168,1103
138,06,025403,0,23,76,27,49,9,0,117,125,0,0,11,0,47,746,48,0,32,30,57,95,519,76,9,30,0,62,136,1276
139,06,025501,7,43,63,146,35,0,21,205,94,0,11,37,0,78,882,0,0,30,0,81,31,608,55,0,0,0,31,183,1071
140,06,025502,33,0,79,62,24,27,33,162,25,0,0,94,0,100,925,106,0,8,0,110,62,583,79,27,0,0,8,220,1238
141,06,025600,19,66,85,59,64,0,18,205,88,0,0,63,0,120,1024,58,27,9,26,60,57,662,75,0,19,0,35,321,1543
142,06,025701,0,10,104,191,65,0,21,213,38,0,0,25,0,79,1064,130,0,0,15,60,113,685,104,0,15,0,15,211,1599
143,06,025702,15,16,70,0,58,0,9,319,25,0,0,10,0,10,726,89,0,0,25,80,0,269,70,0,25,0,25,106,1166
144,06,025800,22,3,45,27,16,0,0,39,35,0,0,22,0,0,313,5,0,0,21,55,23,226,45,0,21,0,21,70,646
145,06,025900,11,76,115,12,11,0,9,220,166,0,0,27,0,49,1137,119,22,0,91,71,138,665,115,0,91,0,91,267,1434
146,06,026001,12,64,140,72,27,0,61,170,127,0,0,63,13,66,1037,75,0,0,22,59,66,684,140,0,22,13,22,318,1780
147,06,026002,34,66,81,76,0,0,0,162,66,0,0,19,10,58,788,45,5,19,20,40,87,493,81,0,20,10,34,211,988
148,06,026003,9,13,85,68,43,0,47,299,94,0,0,45,21,0,970,53,17,7,0,73,96,517,83,0,0,21,7,143,1417
149,06,026004,13,29,82,71,0,0,56,274,16,0,0,0,0,11,674,32,7,0,7,43,33,285,82,0,7,0,7,122,1137
150,06,026100,35,34,276,84,25,0,60,313,172,0,0,83,0,23,1349,45,0,0,21,129,49,875,276,0,21,0,21,416,2012
