,state,tract,B25091_017E,B25091_010E,B25091_011E,B25091_005E,B25091_003E,B25091_012E,B25091_016E,B25091_014E,B25091_004E,B25091_021E,B25091_020E,B25091_009E,B25091_023E,B25091_008E,B25091_001E,B25091_015E,B25091_018E,B25091_019E,B25091_022E,B25091_007E,B25091_006E,B25091_002E
21,06,012301,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0
22,06,012302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,06,012401,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,10
24,06,012402,0,0,3,0,0,0,0,0,0,0,0,0,12,0,33,0,0,0,0,6,12,21
25,06,012501,0,0,0,0,0,0,0,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0
26,06,012502,0,0,0,0,0,15,8,0,0,0,0,0,0,0,23,0,0,0,0,0,0,15
27,06,012601,15,0,27,36,34,0,17,63,13,0,0,32,0,23,302,16,0,0,0,26,0,191
28,06,012602,72,14,14,12,0,0,0,33,26,26,0,21,11,0,305,26,0,0,0,13,37,137
29,06,012700,0,23,116,30,36,0,49,80,0,0,0,24,0,46,676,69,0,12,46,100,45,420
30,06,012800,0,32,327,65,0,0,0,168,52,0,0,28,0,0,900,42,45,12,30,0,99,603
31,06,012901,19,70,15,6,8,0,16,23,0,10,0,10,0,0,200,0,0,0,0,23,0,132
32,06,012902,0,48,70,63,31,0,13,99,13,0,0,11,0,89,551,0,0,0,28,67,19,411
33,06,013000,0,52,183,37,7,0,0,56,38,0,0,40,46,51,613,14,0,13,25,0,51,459
34,06,013101,12,15,64,82,19,0,0,38,0,0,14,19,0,13,462,0,12,0,48,41,85,338
35,06,013102,0,31,56,58,11,0,13,47,24,0,0,0,0,0,318,0,0,0,33,20,25,225
36,06,013200,10,57,177,70,34,0,23,169,96,19,0,65,0,90,1003,83,0,0,11,50,49,688
37,06,013300,0,139,117,76,28,0,43,173,49,0,0,9,0,54,951,117,22,58,0,31,35,538
38,06,013400,0,30,55,63,99,0,0,133,37,0,0,66,0,0,604,10,0,11,0,54,46,450
39,06,013500,0,10,45,42,0,0,11,33,24,0,0,31,9,47,441,20,37,11,23,34,64,297
40,06,015100,40,0,74,31,26,0,27,115,34,0,0,12,0,14,497,12,0,0,51,7,54,252
41,06,015200,15,40,130,27,15,0,12,68,52,0,0,25,26,16,571,29,0,0,14,22,80,407
42,06,015300,0,28,123,58,8,0,0,21,8,0,0,8,0,12,321,29,0,0,0,0,26,271
43,06,015400,26,36,114,137,47,14,32,142,94,13,0,0,0,23,937,15,0,0,32,125,87,677
44,06,015500,13,0,12,10,0,0,16,151,16,0,0,0,0,0,260,16,15,0,0,11,0,49
45,06,015600,59,21,40,23,0,0,20,71,46,0,18,8,11,46,431,18,0,0,14,23,13,220
46,06,015700,0,19,201,66,30,0,0,125,89,0,4,9,0,44,748,7,0,0,16,126,12,596
47,06,015801,0,17,35,13,0,0,10,4,90,0,0,42,0,67,440,0,0,0,0,60,102,426
48,06,015802,0,40,0,33,13,0,0,0,25,0,0,0,0,21,238,0,0,10,0,0,96,228
49,06,015900,14,25,37,50,0,15,71,43,25,0,0,45,0,47,521,14,18,13,58,13,33,290
50,06,016000,12,63,78,17,0,0,42,54,7,0,6,0,0,13,388,7,0,0,16,32,41,251
51,06,016100,0,55,58,0,0,0,0,0,0,0,0,10,0,0,199,0,10,0,0,32,34,189
52,06,016200,0,0,33,0,0,0,18,19,0,0,0,0,0,29,113,11,0,0,0,0,3,65
53,06,016300,0,16,92,46,16,0,20,11,26,0,0,61,0,15,411,17,0,0,0,0,91,363
54,06,016400,0,0,68,21,20,0,0,9,24,27,0,36,0,72,336,23,0,0,12,16,8,265
55,06,016500,15,80,116,69,0,0,0,28,25,0,0,21,0,87,623,0,0,11,0,111,60,569
56,06,016600,14,41,40,38,32,0,0,12,16,0,0,13,0,92,494,0,10,0,12,101,73,446
57,06,016700,0,25,174,92,60,0,0,12,28,0,0,0,0,102,630,11,0,0,44,66,16,563
58,06,016801,0,18,38,47,14,0,0,50,0,0,0,10,0,31,345,24,0,0,14,28,71,257
59,06,016802,0,12,57,12,51,0,0,0,28,0,0,0,0,13,292,47,0,0,0,0,72,245
60,06,016900,0,10,58,44,0,0,20,32,35,0,0,18,0,53,395,0,0,0,0,98,27,343
61,06,017000,33,90,285,78,16,0,13,78,43,0,0,39,17,100,1077,12,18,0,0,79,176,906
62,06,017101,0,49,105,23,14,0,51,73,73,14,0,16,0,51,746,0,0,0,0,109,168,608
63,06,017102,0,10,60,29,82,10,0,48,26,0,0,47,0,48,567,0,0,12,48,79,68,459
64,06,017601,0,21,14,31,0,0,15,0,0,0,0,54,0,32,226,0,0,0,15,0,44,196
65,06,017700,0,11,10,21,0,0,0,8,0,0,0,0,0,18,133,0,24,0,0,33,8,101
66,06,017801,0,56,90,33,22,0,0,17,35,0,0,34,0,0,345,15,10,0,0,0,33,303
67,06,017802,0,99,117,42,38,0,0,24,17,0,0,57,0,93,549,0,0,0,0,25,37,525
68,06,017902,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,12
69,06,018000,0,69,108,64,23,0,0,0,25,0,0,29,0,27,518,9,0,2,0,70,92,507
70,06,020100,9,52,136,74,0,0,0,0,0,0,0,20,0,102,594,26,0,0,0,75,100,559
71,06,020200,12,47,142,20,0,0,11,51,108,0,0,55,0,23,630,35,14,0,0,62,50,507
72,06,020300,0,36,104,89,27,0,7,45,36,0,0,28,0,30,559,50,0,0,8,38,61,449
73,06,020401,0,68,85,106,21,0,11,46,16,0,0,26,0,82,599,14,0,0,0,76,48,528
74,06,020402,43,22,159,93,21,10,34,95,51,0,16,22,0,0,610,0,0,0,0,0,44,422
75,06,020500,0,29,91,59,25,0,8,17,62,0,11,37,0,37,457,13,0,0,9,8,51,399
76,06,020600,0,89,106,171,72,0,9,102,102,0,0,81,0,75,1131,12,0,0,12,187,113,996
77,06,020700,12,20,176,129,25,0,0,73,87,0,0,136,0,98,963,28,11,0,11,78,79,828
78,06,020800,0,49,87,96,11,0,0,10,0,0,0,11,0,27,431,0,0,0,0,59,81,421
