,year,label,Category,Attribute
85,2010,ACS5YR,Housing Prices,Contract Rent Total
86,2010,ACS5YR,Housing Prices,Contract Rent Total No cash Rent (ACS2015-)
87,2010,ACS5YR,Housing Prices,"Contract Rent Total No cash Rent (No cash rent, DEC2000 and ACS2009-2014)"
88,2010,ACS5YR,Housing Prices,Contract Rent Total With cash Rent
89,2010,ACS5YR,Housing Prices,Extremely Rent Burdened
90,2010,ACS5YR,Housing Prices,Home Value 10000 to 14999 
91,2010,ACS5YR,Housing Prices,Home Value 100000 to 124999
92,2010,ACS5YR,Housing Prices,"Home Value 1000000 to 1499999 (1000000 or more, DEC2000 and ACS2009-2014)"
93,2010,ACS5YR,Housing Prices,Home Value 125000 to 149999
94,2010,ACS5YR,Housing Prices,Home Value 15000 to 19999 
95,2010,ACS5YR,Housing Prices,Home Value 150000 to 174999
96,2010,ACS5YR,Housing Prices,Home Value 1500000 to 1999999 (ACS2015-)
97,2010,ACS5YR,Housing Prices,Home Value 175000 to 199999
98,2010,ACS5YR,Housing Prices,Home Value 20000 to 24999 
99,2010,ACS5YR,Housing Prices,Home Value 200000 to 249999
100,2010,ACS5YR,Housing Prices,Home Value 2000000 or more (ACS2015-)
101,2010,ACS5YR,Housing Prices,Home Value 25000 to 29999 
102,2010,ACS5YR,Housing Prices,Home Value 250000 to 299999
103,2010,ACS5YR,Housing Prices,Home Value 30000 to 34999 
104,2010,ACS5YR,Housing Prices,Home Value 300000 to 399999
105,2010,ACS5YR,Housing Prices,Home Value 35000 to 39999 
106,2010,ACS5YR,Housing Prices,Home Value 40000 to 49999 
107,2010,ACS5YR,Housing Prices,Home Value 400000 to 499999
108,2010,ACS5YR,Housing Prices,Home Value 50000 to 59999 
109,2010,ACS5YR,Housing Prices,Home Value 500000 to 749999
110,2010,ACS5YR,Housing Prices,Home Value 60000 to 69999 
111,2010,ACS5YR,Housing Prices,Home Value 70000 to 79999 
112,2010,ACS5YR,Housing Prices,Home Value 750000 to 999999
113,2010,ACS5YR,Housing Prices,Home Value 80000 to 89999 
114,2010,ACS5YR,Housing Prices,Home Value 90000 to 99999 
115,2010,ACS5YR,Housing Prices,Home Value Less than 10000
116,2010,ACS5YR,Housing Prices,Home Value Total
117,2010,ACS5YR,Housing Prices,Housing Units with a Mortgage
118,2010,ACS5YR,Housing Prices,Housing Units with a Mortgage 0 to 30%
119,2010,ACS5YR,Housing Prices,Housing Units with a Mortgage 30-50%
120,2010,ACS5YR,Housing Prices,Housing Units with a Mortgage 50%+
121,2010,ACS5YR,Housing Prices,Housing Units with a Mortgage Not Computed
122,2010,ACS5YR,Housing Prices,Housing Units without a Mortgage
123,2010,ACS5YR,Housing Prices,Housing Units without a Mortgage 0 to 30%
124,2010,ACS5YR,Housing Prices,Housing Units without a Mortgage 30-50%
125,2010,ACS5YR,Housing Prices,Housing Units without a Mortgage 50%+
126,2010,ACS5YR,Housing Prices,Housing Units without a Mortgage Not Computed
127,2010,ACS5YR,Housing Prices,Median Contract Rent
128,2010,ACS5YR,Housing Prices,Median Home Value
129,2010,ACS5YR,Housing Prices,Median Rent
130,2010,ACS5YR,Housing Prices,Median Rent as % of Household Income
