,Category,Attribute,Percent Of,2000_Golden Gate Park,2010_Golden Gate Park,2011_Golden Gate Park,2012_Golden Gate Park,2013_Golden Gate Park,2014_Golden Gate Park,2015_Golden Gate Park,2016_Golden Gate Park,2017_Golden Gate Park,2018_Golden Gate Park,2019_Golden Gate Park,2020_Golden Gate Park,2021_Golden Gate Park,2022_Golden Gate Park,2023_Golden Gate Park,2024_Golden Gate Park
73,Housing,"Overcrowding, Renter Occupied Housing",Total Renter Occupied,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
74,Housing,Owner Occupied,Total Tenure,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
75,Housing,"Owner Occupied by Race, American Indian and Alaska Native Alone",Total Tenure by Race,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
76,Housing,"Owner Occupied by Race, Asian Alone",Total Tenure by Race,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
77,Housing,"Owner Occupied by Race, Black or African American Alone",Total Tenure by Race,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
78,Housing,"Owner Occupied by Race, Hispanic or Latino",Total Tenure by Race,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
79,Housing,"Owner Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",Total Tenure by Race,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80,Housing,"Owner Occupied by Race, Some Other Race Alone",Total Tenure by Race,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
81,Housing,"Owner Occupied by Race, Two or More Races",Total Tenure by Race,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
82,Housing,"Owner Occupied by Race, White Alone",Total Tenure by Race,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
83,Housing,"Owner Occupied by Race, White Alone, Not Hispanic or Latino",Total Tenure by Race,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
84,Housing,Post 1979 All and Pre 1979 Single Family Renter Occupied by Year Structure Built by Units in Structure,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
