,year,label,Category,Attribute,030101,030102,030201,030202,030301,030302
73,2000,DEC_SF3,Housing,"Renter Occupied by Race, Some Other Race Alone",0.8070175438596491,0.8536585365853658,1.0,1.0,0.6545454545454545,1.0
74,2000,DEC_SF3,Housing,"Renter Occupied by Race, Two or More Races",0.7931034482758621,0.5227272727272727,0.8518518518518519,0.6962025316455697,0.686046511627907,0.2972972972972973
75,2000,DEC_SF3,Housing,"Renter Occupied by Race, White Alone",0.7697841726618705,0.5433628318584071,0.8299050632911392,0.820842255531763,0.535475234270415,0.2794117647058823
76,2000,DEC_SF3,Housing,"Renter Occupied by Race, White Alone, Not Hispanic or Latino",0.7808032675289313,0.5393462469733656,0.8221670802315963,0.8225331369661266,0.5378209576682859,0.275
77,2000,DEC_SF3,Housing,Total Number of Units,2119.0,2484.0,1919.0,2210.0,2507.0,1318.0
78,2000,DEC_SF3,Housing,Total Vacant Units,75.0,158.0,55.0,67.0,76.0,25.0
79,2000,DEC_SF3,Housing,Vacancy Rate,0.0353940537989617,0.0636070853462157,0.0286607608129234,0.0303167420814479,0.0303151176705225,0.01896813353566
80,2000,DEC_SF3,Housing Prices,Contract Rent 100 to 149,0.0,9.0,0.0,0.0,0.0,0.0
81,2000,DEC_SF3,Housing Prices,Contract Rent 1000 to 1249,312.0,265.0,271.0,303.0,214.0,67.0
82,2000,DEC_SF3,Housing Prices,Contract Rent 1250 to 1499,164.0,154.0,153.0,235.0,101.0,8.0
83,2000,DEC_SF3,Housing Prices,Contract Rent 150 to 199,0.0,0.0,0.0,24.0,0.0,0.0
84,2000,DEC_SF3,Housing Prices,Contract Rent 1500 to 1999,216.0,207.0,139.0,149.0,245.0,86.0
85,2000,DEC_SF3,Housing Prices,Contract Rent 200 to 249,0.0,0.0,0.0,0.0,0.0,0.0
86,2000,DEC_SF3,Housing Prices,"Contract Rent 2000 to 2499 (Contract Rent 2000 or more, DEC2000 and ACS2009-2014)",78.0,101.0,17.0,80.0,110.0,30.0
87,2000,DEC_SF3,Housing Prices,Contract Rent 250 to 299,0.0,7.0,9.0,25.0,0.0,0.0
88,2000,DEC_SF3,Housing Prices,Contract Rent 300 to 349,17.0,8.0,7.0,9.0,8.0,9.0
89,2000,DEC_SF3,Housing Prices,Contract Rent 350 to 399,27.0,17.0,8.0,0.0,0.0,10.0
90,2000,DEC_SF3,Housing Prices,Contract Rent 400 to 449,14.0,0.0,29.0,18.0,11.0,0.0
91,2000,DEC_SF3,Housing Prices,Contract Rent 500 to 549,31.0,0.0,0.0,20.0,8.0,0.0
92,2000,DEC_SF3,Housing Prices,Contract Rent 550 to 599,27.0,54.0,17.0,17.0,27.0,10.0
93,2000,DEC_SF3,Housing Prices,Contract Rent 600 to 649,8.0,26.0,45.0,51.0,9.0,0.0
94,2000,DEC_SF3,Housing Prices,Contract Rent 650 to 699,13.0,47.0,61.0,51.0,23.0,11.0
95,2000,DEC_SF3,Housing Prices,Contract Rent 700 to 749,41.0,44.0,35.0,77.0,28.0,0.0
96,2000,DEC_SF3,Housing Prices,Contract Rent 750 to 749,84.0,66.0,99.0,67.0,52.0,17.0
97,2000,DEC_SF3,Housing Prices,Contract Rent 750 to 799,62.0,100.0,117.0,72.0,50.0,0.0
98,2000,DEC_SF3,Housing Prices,Contract Rent 800 to 899,199.0,96.0,204.0,237.0,94.0,26.0
99,2000,DEC_SF3,Housing Prices,Contract Rent 900 to 999,226.0,123.0,172.0,247.0,155.0,33.0
100,2000,DEC_SF3,Housing Prices,Contract Rent Less than 100,0.0,0.0,9.0,11.0,0.0,0.0
101,2000,DEC_SF3,Housing Prices,Contract Rent Total,1528.0,1342.0,1424.0,1718.0,1141.0,327.0
102,2000,DEC_SF3,Housing Prices,Contract Rent Total No cash Rent (ACS2015-),9.0,18.0,32.0,25.0,6.0,20.0
103,2000,DEC_SF3,Housing Prices,"Contract Rent Total No cash Rent (No cash rent, DEC2000 and ACS2009-2014)",9.0,18.0,32.0,25.0,6.0,20.0
104,2000,DEC_SF3,Housing Prices,Contract Rent Total With cash Rent,1519.0,1324.0,1392.0,1693.0,1135.0,307.0
105,2000,DEC_SF3,Housing Prices,Extremely Rent Burdened,0.2231675392670157,0.210134128166915,0.1594101123595505,0.1414435389988358,0.1840490797546012,0.2171253822629969
106,2000,DEC_SF3,Housing Prices,Home Value 10000 to 14999 ,0.0,0.0,0.0,0.0,0.0,0.0
107,2000,DEC_SF3,Housing Prices,Home Value 100000 to 124999,0.0,0.0,0.0,0.0,16.0,0.0
108,2000,DEC_SF3,Housing Prices,"Home Value 1000000 to 1499999 (1000000 or more, DEC2000 and ACS2009-2014)",43.0,187.0,13.0,38.0,16.0,24.0
109,2000,DEC_SF3,Housing Prices,Home Value 125000 to 149999,9.0,0.0,0.0,0.0,0.0,0.0
110,2000,DEC_SF3,Housing Prices,Home Value 15000 to 19999 ,0.0,0.0,0.0,0.0,0.0,0.0
111,2000,DEC_SF3,Housing Prices,Home Value 150000 to 174999,0.0,0.0,0.0,0.0,0.0,0.0
112,2000,DEC_SF3,Housing Prices,Home Value 175000 to 199999,12.0,9.0,9.0,15.0,0.0,0.0
113,2000,DEC_SF3,Housing Prices,Home Value 20000 to 24999 ,0.0,0.0,0.0,0.0,0.0,0.0
114,2000,DEC_SF3,Housing Prices,Home Value 200000 to 249999,22.0,0.0,24.0,0.0,25.0,9.0
115,2000,DEC_SF3,Housing Prices,Home Value 25000 to 29999 ,0.0,0.0,5.0,0.0,0.0,0.0
116,2000,DEC_SF3,Housing Prices,Home Value 250000 to 299999,12.0,0.0,19.0,10.0,49.0,16.0
117,2000,DEC_SF3,Housing Prices,Home Value 30000 to 34999 ,0.0,0.0,0.0,0.0,17.0,0.0
118,2000,DEC_SF3,Housing Prices,Home Value 300000 to 399999,118.0,101.0,75.0,49.0,158.0,193.0
119,2000,DEC_SF3,Housing Prices,Home Value 35000 to 39999 ,0.0,10.0,0.0,0.0,9.0,7.0
120,2000,DEC_SF3,Housing Prices,Home Value 40000 to 49999 ,0.0,0.0,0.0,0.0,0.0,7.0
121,2000,DEC_SF3,Housing Prices,Home Value 400000 to 499999,58.0,176.0,143.0,53.0,300.0,322.0
122,2000,DEC_SF3,Housing Prices,Home Value 50000 to 59999 ,0.0,9.0,0.0,0.0,20.0,10.0
123,2000,DEC_SF3,Housing Prices,Home Value 500000 to 749999,142.0,297.0,85.0,195.0,551.0,317.0
124,2000,DEC_SF3,Housing Prices,Home Value 60000 to 69999 ,0.0,0.0,0.0,0.0,0.0,0.0
125,2000,DEC_SF3,Housing Prices,Home Value 70000 to 79999 ,0.0,0.0,0.0,0.0,0.0,9.0
126,2000,DEC_SF3,Housing Prices,Home Value 750000 to 999999,100.0,195.0,42.0,56.0,129.0,52.0
127,2000,DEC_SF3,Housing Prices,Home Value 80000 to 89999 ,0.0,0.0,0.0,0.0,0.0,0.0
128,2000,DEC_SF3,Housing Prices,Home Value 90000 to 99999 ,0.0,0.0,25.0,9.0,0.0,0.0
129,2000,DEC_SF3,Housing Prices,Home Value Less than 10000,0.0,0.0,0.0,0.0,0.0,0.0
130,2000,DEC_SF3,Housing Prices,Home Value Total,516.0,984.0,440.0,425.0,1290.0,966.0
131,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage,161.0,576.0,246.0,146.0,715.0,551.0
132,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage 0 to 30%,95.0,388.0,161.0,87.0,454.0,354.0
133,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage 30-50%,38.0,106.0,47.0,36.0,129.0,118.0
134,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage 50%+,28.0,82.0,38.0,23.0,122.0,79.0
135,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage Not Computed,0.0,0.0,0.0,0.0,10.0,0.0
136,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage,24.0,203.0,90.0,81.0,415.0,311.0
137,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage 0 to 30%,24.0,164.0,81.0,65.0,389.0,295.0
138,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage 30-50%,0.0,10.0,9.0,0.0,10.0,0.0
139,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage 50%+,0.0,29.0,0.0,8.0,16.0,7.0
140,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage Not Computed,0.0,0.0,0.0,8.0,0.0,9.0
141,2000,DEC_SF3,Housing Prices,Median Contract Rent,1008.4134615384615,1061.3207547169811,932.5581395348836,967.8137651821862,1119.7429906542056,1139.9253731343283
142,2000,DEC_SF3,Housing Prices,Median Home Value,547535.2112676057,657407.4074074074,444055.944055944,598076.9230769231,523139.7459165154,472049.6894409938
143,2000,DEC_SF3,Housing Prices,Median Rent,1063.629518072289,1098.901098901099,978.7128712871288,1012.8676470588236,1200.8754863813228,1244.5652173913045
144,2000,DEC_SF3,Housing Prices,Median Rent as % of Household Income,26.97747252747253,25.81513157894737,23.874248927038625,24.35711297071129,25.75802139037433,29.26111111111111
145,2000,DEC_SF3,Housing Prices,Rent 100 to 149,0.0,9.0,0.0,11.0,0.0,0.0
146,2000,DEC_SF3,Housing Prices,Rent 1000 to 1249,332.0,273.0,287.0,340.0,257.0,69.0
147,2000,DEC_SF3,Housing Prices,Rent 1250 to 1499,163.0,148.0,192.0,206.0,115.0,28.0
148,2000,DEC_SF3,Housing Prices,Rent 150 to 199,0.0,0.0,0.0,24.0,0.0,0.0
149,2000,DEC_SF3,Housing Prices,Rent 1500 to 1999,271.0,217.0,137.0,206.0,264.0,74.0
150,2000,DEC_SF3,Housing Prices,Rent 200 to 249,0.0,0.0,0.0,0.0,0.0,0.0
151,2000,DEC_SF3,Housing Prices,"Rent 2000 to 2499  (Rent 2000 or more, DEC2000 and ACS2009-2014)",78.0,132.0,37.0,112.0,138.0,50.0
152,2000,DEC_SF3,Housing Prices,Rent 250 to 299,0.0,7.0,0.0,25.0,0.0,0.0
153,2000,DEC_SF3,Housing Prices,Rent 300 to 349,17.0,0.0,9.0,9.0,8.0,0.0
154,2000,DEC_SF3,Housing Prices,Rent 350 to 399,0.0,0.0,7.0,0.0,0.0,9.0
155,2000,DEC_SF3,Housing Prices,Rent 400 to 449,14.0,16.0,20.0,9.0,0.0,0.0
156,2000,DEC_SF3,Housing Prices,Rent 450 to 499,58.0,0.0,17.0,20.0,8.0,10.0
157,2000,DEC_SF3,Housing Prices,Rent 500 to 549,0.0,27.0,0.0,17.0,29.0,10.0
158,2000,DEC_SF3,Housing Prices,Rent 550 to 599,35.0,27.0,44.0,22.0,9.0,0.0
159,2000,DEC_SF3,Housing Prices,Rent 600 to 649,5.0,41.0,47.0,56.0,17.0,11.0
160,2000,DEC_SF3,Housing Prices,Rent 650 to 699,17.0,36.0,59.0,42.0,0.0,0.0
161,2000,DEC_SF3,Housing Prices,Rent 700 to 749,71.0,70.0,41.0,81.0,59.0,17.0
162,2000,DEC_SF3,Housing Prices,Rent 750 to 799,51.0,79.0,111.0,36.0,33.0,0.0
163,2000,DEC_SF3,Housing Prices,Rent 800 to 899,216.0,121.0,173.0,220.0,94.0,10.0
164,2000,DEC_SF3,Housing Prices,Rent 900 to 999,191.0,121.0,202.0,257.0,104.0,19.0
