,year,label,Category,Attribute,017700,020100,020101,020102,020200,020201,020202,020700,020701,020702,020800,020801,020802,020900,021000,022801,022802,022803,022901,022902,022903
25,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent",21.0,117.0,INACTIVE,INACTIVE,109.0,INACTIVE,INACTIVE,36.0,INACTIVE,INACTIVE,127.0,INACTIVE,INACTIVE,143.0,85.0,86.0,8.0,99.0,85.0,75.0,70.0
26,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent, Parent Not in Labor Force",1.0,0.3846153846153846,INACTIVE,INACTIVE,0.4678899082568807,INACTIVE,INACTIVE,0.1944444444444444,INACTIVE,INACTIVE,0.2362204724409448,INACTIVE,INACTIVE,0.2937062937062937,0.2235294117647059,0.1976744186046511,0.5,0.494949494949495,0.4352941176470588,0.64,0.5285714285714286
27,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent, Parent in Labor Force",0.0,0.6153846153846154,INACTIVE,INACTIVE,0.5321100917431193,INACTIVE,INACTIVE,0.8055555555555556,INACTIVE,INACTIVE,0.7637795275590551,INACTIVE,INACTIVE,0.7062937062937062,0.7764705882352941,0.8023255813953488,0.5,0.5050505050505051,0.5647058823529412,0.36,0.4714285714285714
28,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents",24.0,268.0,INACTIVE,INACTIVE,91.0,INACTIVE,INACTIVE,131.0,INACTIVE,INACTIVE,262.0,INACTIVE,INACTIVE,129.0,122.0,127.0,78.0,257.0,236.0,85.0,120.0
29,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, One Parent in Labor Force",1.0,0.7089552238805971,INACTIVE,INACTIVE,0.5494505494505495,INACTIVE,INACTIVE,0.3893129770992366,INACTIVE,INACTIVE,0.2519083969465648,INACTIVE,INACTIVE,0.4496124031007752,0.1967213114754098,0.2755905511811024,0.2179487179487179,0.424124513618677,0.5254237288135594,0.4941176470588235,0.3666666666666666
30,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, Parents Not in Labor Force",0.0,0.0783582089552238,INACTIVE,INACTIVE,0.0989010989010989,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,0.2480916030534351,INACTIVE,INACTIVE,0.0,0.4180327868852459,0.2283464566929134,0.2948717948717949,0.2217898832684824,0.2372881355932203,0.1176470588235294,0.0
31,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, Parents in Labor Force",0.0,0.2126865671641791,INACTIVE,INACTIVE,0.3516483516483517,INACTIVE,INACTIVE,0.6106870229007634,INACTIVE,INACTIVE,0.5,INACTIVE,INACTIVE,0.5503875968992248,0.3852459016393442,0.4960629921259842,0.4871794871794871,0.3540856031128405,0.2372881355932203,0.388235294117647,0.6333333333333333
32,2000,DEC_SF3,Employment,Unemployment Rate,0.0666666666666666,0.1334394904458598,INACTIVE,INACTIVE,0.0721105527638191,INACTIVE,INACTIVE,0.0460159844998789,INACTIVE,INACTIVE,0.0812241141279337,INACTIVE,INACTIVE,0.0469407575267076,0.0238907849829351,0.0644092749355907,0.072992700729927,0.0681732580037664,0.0429515418502202,0.0785340314136125,0.0726691042047532
33,2000,DEC_SF3,Employment,Worked in place of residence,0.7609756097560976,0.8304071722076952,INACTIVE,INACTIVE,0.827831531018782,INACTIVE,INACTIVE,0.7712016397642839,INACTIVE,INACTIVE,0.824967824967825,INACTIVE,INACTIVE,0.7857651245551601,0.7454896907216495,0.8095620731217357,0.7641509433962265,0.8196925633568758,0.7962747380675204,0.7829848594087959,0.7969215491559086
34,2000,DEC_SF3,Employment,Worked outside place of residence,0.2390243902439024,0.1695928277923048,INACTIVE,INACTIVE,0.172168468981218,INACTIVE,INACTIVE,0.2287983602357161,INACTIVE,INACTIVE,0.175032175032175,INACTIVE,INACTIVE,0.2142348754448398,0.2545103092783505,0.1904379268782643,0.2358490566037736,0.1803074366431242,0.2037252619324796,0.217015140591204,0.2030784508440913
