,year,label,Category,Attribute,060100
71,2010,ACS5YR,Housing Prices,Contract Rent 3000 to 3499 (ACS2015-),0.0
72,2010,ACS5YR,Housing Prices,Contract Rent 350 to 399,12.0
73,2010,ACS5YR,Housing Prices,Contract Rent 3500 or more (ACS2015-),0.0
74,2010,ACS5YR,Housing Prices,Contract Rent 400 to 449,0.0
75,2010,ACS5YR,Housing Prices,Contract Rent 500 to 549,0.0
76,2010,ACS5YR,Housing Prices,Contract Rent 550 to 599,47.0
77,2010,ACS5YR,Housing Prices,Contract Rent 600 to 649,14.0
78,2010,ACS5YR,Housing Prices,Contract Rent 650 to 699,0.0
79,2010,ACS5YR,Housing Prices,Contract Rent 700 to 749,0.0
80,2010,ACS5YR,Housing Prices,Contract Rent 750 to 749,6.0
81,2010,ACS5YR,Housing Prices,Contract Rent 750 to 799,0.0
82,2010,ACS5YR,Housing Prices,Contract Rent 800 to 899,0.0
83,2010,ACS5YR,Housing Prices,Contract Rent 900 to 999,9.0
84,2010,ACS5YR,Housing Prices,Contract Rent Less than 100,0.0
85,2010,ACS5YR,Housing Prices,Contract Rent Total,986.0
86,2010,ACS5YR,Housing Prices,Contract Rent Total No cash Rent (ACS2015-),0.0
87,2010,ACS5YR,Housing Prices,"Contract Rent Total No cash Rent (No cash rent, DEC2000 and ACS2009-2014)",0.0
88,2010,ACS5YR,Housing Prices,Contract Rent Total With cash Rent,986.0
89,2010,ACS5YR,Housing Prices,Extremely Rent Burdened,0.2038539553752535
90,2010,ACS5YR,Housing Prices,Home Value 10000 to 14999 ,0.0
91,2010,ACS5YR,Housing Prices,Home Value 100000 to 124999,0.0
92,2010,ACS5YR,Housing Prices,"Home Value 1000000 to 1499999 (1000000 or more, DEC2000 and ACS2009-2014)",12.0
93,2010,ACS5YR,Housing Prices,Home Value 125000 to 149999,0.0
94,2010,ACS5YR,Housing Prices,Home Value 15000 to 19999 ,0.0
95,2010,ACS5YR,Housing Prices,Home Value 150000 to 174999,0.0
96,2010,ACS5YR,Housing Prices,Home Value 1500000 to 1999999 (ACS2015-),0.0
97,2010,ACS5YR,Housing Prices,Home Value 175000 to 199999,0.0
98,2010,ACS5YR,Housing Prices,Home Value 20000 to 24999 ,0.0
99,2010,ACS5YR,Housing Prices,Home Value 200000 to 249999,0.0
100,2010,ACS5YR,Housing Prices,Home Value 2000000 or more (ACS2015-),0.0
101,2010,ACS5YR,Housing Prices,Home Value 25000 to 29999 ,0.0
102,2010,ACS5YR,Housing Prices,Home Value 250000 to 299999,0.0
