,Category,Attribute,2000_Mission Bay,2010_Mission Bay,2011_Mission Bay,2012_Mission Bay,2013_Mission Bay,2014_Mission Bay,2015_Mission Bay,2016_Mission Bay,2017_Mission Bay,2018_Mission Bay,2019_Mission Bay,2020_Mission Bay,2021_Mission Bay,2022_Mission Bay,2023_Mission Bay,2024_Mission Bay
469,Race/Ethnicity,Asian,189.0,2482.0,3084.0,3707.0,3889.0,4487.0,4382.0,4282.0,4618.0,5348.0,5931.0,5107.0,5938.0,7163.0,7513.0,8167.0
470,Race/Ethnicity,Black/African American,29.0,189.0,169.0,128.0,263.0,484.0,509.0,728.0,786.0,612.0,326.0,639.0,547.0,1038.0,1706.0,2106.0
471,Race/Ethnicity,Latino Population (of Any Race),0.0,659.0,761.0,814.0,894.0,1018.0,1083.0,1214.0,1667.0,1781.0,1666.0,1436.0,1832.0,1489.0,1647.0,1674.0
472,Race/Ethnicity,Native American Indian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,86.0,92.0,98.0,92.0,0.0,0.0,4.0,69.0
473,Race/Ethnicity,Native Hawaiian/Pacific Islander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,137.0,122.0,132.0,136.0
474,Race/Ethnicity,Other/Two or More Races,19.0,504.0,575.0,640.0,872.0,814.0,858.0,1055.0,1100.0,1104.0,975.0,1193.0,1599.0,1894.0,2289.0,2189.0
475,Race/Ethnicity,"White Alone, Not Hispanic or Latino",358.0,2563.0,2940.0,3617.0,3976.0,3714.0,3899.0,4057.0,4060.0,4312.0,4862.0,5365.0,5675.0,5371.0,4504.0,4551.0
476,Race/Ethnicity,"White, Including Hispanic or Latino",358.0,2857.0,3264.0,3897.0,4227.0,4019.0,4230.0,4393.0,4835.0,5024.0,5892.0,6167.0,6675.0,5863.0,5066.0,4931.0
477,Sex,Female,0.4386554621848739,0.414787798408488,0.4094754653130287,0.4273769708552317,0.4367095449140633,0.4666462668298654,0.4618699268463774,0.4726944629119574,0.4828884026258205,0.5055008210180624,0.5192860384208138,0.5067516879219804,0.5134264232008593,0.5062189054726368,0.4904847396768402,0.5018752130923969
478,Sex,Male,0.561344537815126,0.5852122015915119,0.5905245346869712,0.5726230291447683,0.5632904550859367,0.5333537331701347,0.5381300731536226,0.5273055370880425,0.5171115973741794,0.4944991789819376,0.4807139615791862,0.4932483120780195,0.4865735767991407,0.4937810945273632,0.5095152603231597,0.4981247869076031
479,Unit Size,1 Bedroom,167.0,1434.0,1774.0,1969.0,1983.0,2303.0,2396.0,2437.0,2438.0,2759.0,3233.0,2457.0,2709.0,2474.0,2652.0,2675.0
480,Unit Size,2 Bedrooms,132.0,1259.0,1547.0,1896.0,2109.0,2204.0,2306.0,2418.0,2463.0,2914.0,2975.0,3048.0,3160.0,3600.0,3189.0,3368.0
