,Category,Attribute,2000_Bayview Hunters Point,2010_Bayview Hunters Point,2011_Bayview Hunters Point,2012_Bayview Hunters Point,2013_Bayview Hunters Point,2014_Bayview Hunters Point,2015_Bayview Hunters Point,2016_Bayview Hunters Point,2017_Bayview Hunters Point,2018_Bayview Hunters Point,2019_Bayview Hunters Point,2020_Bayview Hunters Point,2021_Bayview Hunters Point,2022_Bayview Hunters Point,2023_Bayview Hunters Point,2024_Bayview Hunters Point
222,Affordability,80 AMI Annual Income,30686.363636363636,35320.53742802303,37990.07444168734,38622.87104622871,41306.982872200264,41103.07898259706,41955.80110497238,44434.66299862449,46024.61538461539,50428.09364548495,51313.26434619003,90236.22047244094,55089.68609865471,62476.754015215556,67292.06963249516,67212.78721278723
223,Affordability,80 AMI Monthly Affordable Rent,2557.1969696969695,2943.3781190019195,3165.8395368072784,3218.572587185726,3442.248572683355,3425.256581883088,3496.3167587476983,3702.8885832187075,3835.3846153846157,4202.341137123746,4276.105362182502,7519.685039370078,4590.807174887893,5206.396167934629,5607.672469374596,5601.065601065602
0,Age,0-2 Years,0.4891341842014488,0.5055608516047029,0.5138605194047272,0.499333866240341,0.4839527027027027,0.4842463809253477,0.4395839706332212,0.4405743965780629,0.4535078885532058,0.4684385382059801,0.5160328113348247,0.5467998520162782,0.5275849470222872,0.5064080360235539,0.5210084033613446,0.5014204545454546
1,Age,0-4 Years,0.0679306264969843,0.077689419694327,0.0815722131171109,0.0899543893237231,0.0818030958404744,0.0825426944971537,0.0720510852883139,0.0705314271763014,0.0640244727794472,0.0513938021791424,0.0577162330286147,0.0518359119633907,0.06078395240477,0.0605773174733388,0.0486074756569992,0.0481097747284797
2,Age,18-34 Years,0.2373820448446022,0.2515446241168297,0.2586043301992581,0.255926572442142,0.2510133572730488,0.2519110870154513,0.2450668713001534,0.2502780565879066,0.2478139635615474,0.2860902787604358,0.2326229242170173,0.2975321420788843,0.2272619580382762,0.2286966776045939,0.2077792901266883,0.1997444515430127
3,Age,3-5 Years,0.5108658157985512,0.4944391483952971,0.4861394805952728,0.500666133759659,0.5160472972972973,0.5157536190746523,0.5604160293667788,0.559425603421937,0.5464921114467942,0.53156146179402,0.4839671886651752,0.4532001479837217,0.4724150529777128,0.4935919639764461,0.4789915966386555,0.4985795454545454
4,Age,35-59 Years,0.3154705220327244,0.3327519437136015,0.3359786077805572,0.3334365673742891,0.3384205228651487,0.3245052859853619,0.3377000657750493,0.3262621056343759,0.323100246352094,0.3302108391113627,0.334316005841943,0.3279309217694486,0.3321399426119462,0.3334187858900738,0.3436551146476809,0.3570456376211772
5,Age,5-17 Years,0.2299368020084841,0.1848523368906494,0.1792748497656631,0.1744749141280477,0.174841535406295,0.174329086473299,0.1888292041219031,0.1820524645308303,0.1789978071956468,0.1341729163718692,0.1655487639963217,0.0946284593593375,0.1596598836444046,0.160890073831009,0.1760286880954873,0.1741896058442821
6,Age,60 and older,0.1492800046172048,0.1531616755845921,0.1445699991374105,0.1462075567317979,0.153921488615033,0.166711846028734,0.1563527735145801,0.1708759460705856,0.1860635101112645,0.1981321635771897,0.2097960729161032,0.2280725648289387,0.2201542633006028,0.2164171452009844,0.2239294314731441,0.2209105302630482
7,Age,Under 18 Years,10322.0,8881.0,9068.0,9385.0,9426.0,9467.0,9508.0,9297.0,8964.0,8532.0,8240.0,7940.0,8364.0,8633.0,8578.0,8001.0
8,Age,Under 6 Years,2899.0,3147.0,3427.0,3753.0,3552.0,3523.0,3269.0,3273.0,2979.0,2709.0,2682.0,2703.0,2737.0,2887.0,2380.0,2112.0
228,Educational Attainment,College Degree or higher,0.1160244972754014,0.1713463262705865,0.18276020174232,0.2000808589012173,0.2128683610571645,0.2228143213988343,0.2349264552689695,0.2457011382901429,0.2583386025924755,0.3524989287522885,0.2621351825040006,0.636584434960619,0.2650629328964027,0.2563479396401625,0.2665191740412979,0.2647523501066435
229,Educational Attainment,High School or Less,0.6015817138448184,0.5346137511207588,0.5381934892251261,0.5212703831813486,0.5078949590475387,0.4991257285595337,0.5000208342014251,0.4876887059013481,0.4847850142269997,0.4052043161544155,0.475805837079936,0.1906942854168835,0.4644000893721606,0.4717426001160766,0.4783923303834808,0.4683229323011296
230,Educational Attainment,Some College/Associate Degree,0.2823937888797801,0.2940399226086546,0.2790463090325539,0.2786487579174341,0.2792366798952968,0.278059950041632,0.2650527105296054,0.2666101558085089,0.2568763831805248,0.2422967550932959,0.2620589804160634,0.1727212796224974,0.2705369777314366,0.2719094602437609,0.2550884955752212,0.2669247175922268
9,Employment,"6-17, Living with One Parent",2964.0,2796.0,2932.0,2971.0,3122.0,3257.0,3072.0,3000.0,3145.0,2886.0,2739.0,2420.0,2498.0,2342.0,2654.0,2286.0
10,Employment,"6-17, Living with One Parent, Parent Not in Labor Force",0.3694331983805668,0.2843347639484979,0.2735334242837653,0.2972063278357455,0.2671364509929532,0.2425544980042984,0.283203125,0.231,0.2130365659777424,0.1891891891891892,0.1712303760496531,0.1479338842975206,0.1413130504403522,0.2147736976942784,0.2358703843255463,0.2152230971128609
11,Employment,"6-17, Living with One Parent, Parent in Labor Force",0.6305668016194332,0.7156652360515021,0.7264665757162346,0.7027936721642545,0.7328635490070468,0.7574455019957016,0.716796875,0.769,0.7869634340222575,0.8108108108108109,0.8287696239503468,0.8520661157024794,0.8586869495596477,0.7852263023057217,0.7641296156744537,0.7847769028871391
12,Employment,"6-17, Living with Two Parents",3361.0,2529.0,2350.0,2328.0,2401.0,2290.0,2707.0,2666.0,2534.0,2581.0,2447.0,2393.0,2453.0,2843.0,3046.0,3007.0
13,Employment,"6-17, Living with Two Parents, One Parent in Labor Force",0.3311514430229098,0.2957690786872281,0.3131914893617021,0.3049828178694158,0.2628071636817992,0.2318777292576419,0.2327299593646102,0.2588147036759189,0.265982636148382,0.2661759008136381,0.303228442991418,0.2661930631007104,0.2890338361190379,0.318325712275765,0.3525935653315824,0.2507482540738277
