,year,label,Category,Attribute,060501
229,2000,DEC_SF3,Vehicles Available,Percent of No Vehicle Homeowning Households,0.0
230,2000,DEC_SF3,Vehicles Available,Percent of No Vehicle Renting Households,0.0
231,2000,DEC_SF3,Vehicles Available,Vehicles Available,178.0
232,2000,DEC_SF3,Vehicles Available,Vehicles Homeowners,0.3370786516853932
233,2000,DEC_SF3,Vehicles Available,Vehicles Per Capita,0.4985994397759103
234,2000,DEC_SF3,Vehicles Available,Vehicles Renters,0.6629213483146067
0,2010,ACS5YR,Affordability,,INACTIVE
1,2010,ACS5YR,Affordability,,INACTIVE
2,2010,ACS5YR,Affordability,,INACTIVE
3,2010,ACS5YR,Affordability,,INACTIVE
4,2010,ACS5YR,Affordability,,INACTIVE
5,2010,ACS5YR,Affordability,,INACTIVE
6,2010,ACS5YR,Affordability,,INACTIVE
7,2010,ACS5YR,Affordability,,INACTIVE
8,2010,ACS5YR,Affordability,,INACTIVE
9,2010,ACS5YR,Affordability,,INACTIVE
10,2010,ACS5YR,Affordability,,INACTIVE
11,2010,ACS5YR,Affordability,,INACTIVE
0,2010,ACS5YR,Age,0-2 Years,INACTIVE
1,2010,ACS5YR,Age,0-4 Years,INACTIVE
2,2010,ACS5YR,Age,18-34 Years,INACTIVE
3,2010,ACS5YR,Age,3-5 Years,INACTIVE
4,2010,ACS5YR,Age,35-59 Years,INACTIVE
5,2010,ACS5YR,Age,5-17 Years,INACTIVE
6,2010,ACS5YR,Age,60 and older,INACTIVE
7,2010,ACS5YR,Age,Under 18 Years,INACTIVE
8,2010,ACS5YR,Age,Under 6 Years,INACTIVE
9,2010,ACS5YR,Educational Attainment,College Degree or higher,INACTIVE
10,2010,ACS5YR,Educational Attainment,High School or Less,INACTIVE
11,2010,ACS5YR,Educational Attainment,Some College/Associate Degree,INACTIVE
12,2010,ACS5YR,Employment,"6-17, Living with One Parent",INACTIVE
13,2010,ACS5YR,Employment,"6-17, Living with One Parent, Parent Not in Labor Force",INACTIVE
14,2010,ACS5YR,Employment,"6-17, Living with One Parent, Parent in Labor Force",INACTIVE
15,2010,ACS5YR,Employment,"6-17, Living with Two Parents",INACTIVE
16,2010,ACS5YR,Employment,"6-17, Living with Two Parents, One Parent in Labor Force",INACTIVE
17,2010,ACS5YR,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force",INACTIVE
18,2010,ACS5YR,Employment,"6-17, Living with Two Parents, Parents in Labor Force",INACTIVE
19,2010,ACS5YR,Employment,Employed Residents,INACTIVE
20,2010,ACS5YR,Employment,"Employed Residents, alternate",INACTIVE
21,2010,ACS5YR,Employment,Managerial Professional,INACTIVE
22,2010,ACS5YR,Employment,"Managerial Professional, alternate",INACTIVE
23,2010,ACS5YR,Employment,Natural Resources,INACTIVE
24,2010,ACS5YR,Employment,"Natural Resources, alternate",INACTIVE
25,2010,ACS5YR,Employment,Production Transport Materials,INACTIVE
26,2010,ACS5YR,Employment,"Production Transport Materials, alternate",INACTIVE
27,2010,ACS5YR,Employment,Sales and Office,INACTIVE
28,2010,ACS5YR,Employment,"Sales and Office, alternate",INACTIVE
29,2010,ACS5YR,Employment,Services,INACTIVE
30,2010,ACS5YR,Employment,"Services, alternate",INACTIVE
31,2010,ACS5YR,Employment,"Under 6 Years, Living with One Parent",INACTIVE
32,2010,ACS5YR,Employment,"Under 6 Years, Living with One Parent, Parent Not in Labor Force",INACTIVE
33,2010,ACS5YR,Employment,"Under 6 Years, Living with One Parent, Parent in Labor Force",INACTIVE
34,2010,ACS5YR,Employment,"Under 6 Years, Living with Two Parents",INACTIVE
35,2010,ACS5YR,Employment,"Under 6 Years, Living with Two Parents, One Parent in Labor Force",INACTIVE
36,2010,ACS5YR,Employment,"Under 6 Years, Living with Two Parents, Parents Not in Labor Force",INACTIVE
37,2010,ACS5YR,Employment,"Under 6 Years, Living with Two Parents, Parents in Labor Force",INACTIVE
38,2010,ACS5YR,Employment,"Unemployment Rate, alternate",INACTIVE
39,2010,ACS5YR,Employment,Worked in place of residence,INACTIVE
40,2010,ACS5YR,Employment,Worked outside place of residence,INACTIVE
41,2010,ACS5YR,Households,Average Family Household Size,INACTIVE
42,2010,ACS5YR,Households,Average Household Size,INACTIVE
43,2010,ACS5YR,Households,Family Households,INACTIVE
44,2010,ACS5YR,Households,Households,INACTIVE
45,2010,ACS5YR,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)",INACTIVE
46,2010,ACS5YR,Households,"Households with Children, % of Total",INACTIVE
47,2010,ACS5YR,Households,Living in Group Quarters,INACTIVE
48,2010,ACS5YR,Households,Non-Family Households,INACTIVE
49,2010,ACS5YR,Households,"Single Person Households, % of Total",INACTIVE
50,2010,ACS5YR,Housing,Median Year Moved In Owner,INACTIVE
51,2010,ACS5YR,Housing,Median Year Moved In Renter,INACTIVE
52,2010,ACS5YR,Housing,Median Year Structure Built,INACTIVE
53,2010,ACS5YR,Housing,"Overcrowding, Renter Occupied Housing",INACTIVE
54,2010,ACS5YR,Housing,Owner Occupied,INACTIVE
55,2010,ACS5YR,Housing,Post 1979 All and Pre 1979 Single Family Renter Occupied by Year Structure Built by Units in Structure,INACTIVE
56,2010,ACS5YR,Housing,Pre 1980 MultiFamily Renter Occupied by Year Structure Built by Units in Structure,INACTIVE
57,2010,ACS5YR,Housing,Renter Occupied,INACTIVE
58,2010,ACS5YR,Housing,Total Number of Units,INACTIVE
59,2010,ACS5YR,Housing,Total Vacant Units,INACTIVE
60,2010,ACS5YR,Housing,Vacancy Rate,INACTIVE
61,2010,ACS5YR,Housing Prices,Contract Rent 100 to 149,INACTIVE
62,2010,ACS5YR,Housing Prices,Contract Rent 1000 to 1249,INACTIVE
63,2010,ACS5YR,Housing Prices,Contract Rent 1250 to 1499,INACTIVE
64,2010,ACS5YR,Housing Prices,Contract Rent 150 to 199,INACTIVE
65,2010,ACS5YR,Housing Prices,Contract Rent 1500 to 1999,INACTIVE
66,2010,ACS5YR,Housing Prices,Contract Rent 200 to 249,INACTIVE
67,2010,ACS5YR,Housing Prices,"Contract Rent 2000 to 2499 (Contract Rent 2000 or more, DEC2000 and ACS2009-2014)",INACTIVE
68,2010,ACS5YR,Housing Prices,Contract Rent 250 to 299,INACTIVE
69,2010,ACS5YR,Housing Prices,Contract Rent 2500 to 2999 (ACS2015-),INACTIVE
70,2010,ACS5YR,Housing Prices,Contract Rent 300 to 349,INACTIVE
71,2010,ACS5YR,Housing Prices,Contract Rent 3000 to 3499 (ACS2015-),INACTIVE
72,2010,ACS5YR,Housing Prices,Contract Rent 350 to 399,INACTIVE
73,2010,ACS5YR,Housing Prices,Contract Rent 3500 or more (ACS2015-),INACTIVE
74,2010,ACS5YR,Housing Prices,Contract Rent 400 to 449,INACTIVE
75,2010,ACS5YR,Housing Prices,Contract Rent 500 to 549,INACTIVE
76,2010,ACS5YR,Housing Prices,Contract Rent 550 to 599,INACTIVE
77,2010,ACS5YR,Housing Prices,Contract Rent 600 to 649,INACTIVE
78,2010,ACS5YR,Housing Prices,Contract Rent 650 to 699,INACTIVE
79,2010,ACS5YR,Housing Prices,Contract Rent 700 to 749,INACTIVE
80,2010,ACS5YR,Housing Prices,Contract Rent 750 to 749,INACTIVE
81,2010,ACS5YR,Housing Prices,Contract Rent 750 to 799,INACTIVE
82,2010,ACS5YR,Housing Prices,Contract Rent 800 to 899,INACTIVE
83,2010,ACS5YR,Housing Prices,Contract Rent 900 to 999,INACTIVE
84,2010,ACS5YR,Housing Prices,Contract Rent Less than 100,INACTIVE
85,2010,ACS5YR,Housing Prices,Contract Rent Total,INACTIVE
86,2010,ACS5YR,Housing Prices,Contract Rent Total No cash Rent (ACS2015-),INACTIVE
87,2010,ACS5YR,Housing Prices,"Contract Rent Total No cash Rent (No cash rent, DEC2000 and ACS2009-2014)",INACTIVE
88,2010,ACS5YR,Housing Prices,Contract Rent Total With cash Rent,INACTIVE
89,2010,ACS5YR,Housing Prices,Extremely Rent Burdened,INACTIVE
90,2010,ACS5YR,Housing Prices,Home Value 10000 to 14999 ,INACTIVE
91,2010,ACS5YR,Housing Prices,Home Value 100000 to 124999,INACTIVE
92,2010,ACS5YR,Housing Prices,"Home Value 1000000 to 1499999 (1000000 or more, DEC2000 and ACS2009-2014)",INACTIVE
93,2010,ACS5YR,Housing Prices,Home Value 125000 to 149999,INACTIVE
94,2010,ACS5YR,Housing Prices,Home Value 15000 to 19999 ,INACTIVE
95,2010,ACS5YR,Housing Prices,Home Value 150000 to 174999,INACTIVE
96,2010,ACS5YR,Housing Prices,Home Value 1500000 to 1999999 (ACS2015-),INACTIVE
97,2010,ACS5YR,Housing Prices,Home Value 175000 to 199999,INACTIVE
98,2010,ACS5YR,Housing Prices,Home Value 20000 to 24999 ,INACTIVE
99,2010,ACS5YR,Housing Prices,Home Value 200000 to 249999,INACTIVE
100,2010,ACS5YR,Housing Prices,Home Value 2000000 or more (ACS2015-),INACTIVE
101,2010,ACS5YR,Housing Prices,Home Value 25000 to 29999 ,INACTIVE
102,2010,ACS5YR,Housing Prices,Home Value 250000 to 299999,INACTIVE
103,2010,ACS5YR,Housing Prices,Home Value 30000 to 34999 ,INACTIVE
104,2010,ACS5YR,Housing Prices,Home Value 300000 to 399999,INACTIVE
105,2010,ACS5YR,Housing Prices,Home Value 35000 to 39999 ,INACTIVE
106,2010,ACS5YR,Housing Prices,Home Value 40000 to 49999 ,INACTIVE
107,2010,ACS5YR,Housing Prices,Home Value 400000 to 499999,INACTIVE
108,2010,ACS5YR,Housing Prices,Home Value 50000 to 59999 ,INACTIVE
